City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Bryan,US,73.49,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
117,Prestea,GH,74.82,light rain,5.4327,-2.1428,Garden Hill Hotel
125,Catalao,BR,73.87,overcast clouds,-18.1658,-47.9464,Mara Turismo Hotel
126,Fare,PF,78.1,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
129,Mar Del Plata,AR,71.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Butaritari,KI,83.7,few clouds,3.0707,172.7902,Isles Sunset Lodge
136,Banes,CU,86.61,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
141,Shakawe,BW,78.03,broken clouds,-18.3667,21.85,Ditlhapi Guest House
143,Victoria,HK,76.98,broken clouds,22.2855,114.1577,Mini Hotel Central
144,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
147,Soyo,AO,78.8,broken clouds,-6.1349,12.3689,Hotel Mpampa
148,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
151,Bilma,NE,82.45,few clouds,18.6853,12.9164,Expeditions Ténére voyages
153,Porbandar,IN,78.26,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
154,Saint George,US,78.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
163,Snyder,US,76.51,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
165,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,Tamale,GH,84.67,overcast clouds,9.4008,-0.8393,Tap Hotel
168,Harper,LR,77.31,overcast clouds,4.375,-7.7169,Screensaver
169,Narasapur,IN,76.35,overcast clouds,16.45,81.6667,TCI Xps
170,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
171,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
172,Santo Augusto,BR,76.46,light rain,-27.8508,-53.7772,Hotel Marco Polo
176,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
179,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
182,Maragogi,BR,78.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
184,Sao Filipe,CV,79.56,broken clouds,14.8961,-24.4956,Hotel Xaguate
188,Mae Sai,TH,74.52,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
194,Utete,TZ,72.77,few clouds,-7.986,38.758,River View Lodge
195,Isangel,VU,80.71,clear sky,-19.55,169.2667,Tanna Lodge
197,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
198,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
201,Ormara,PK,79.16,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
208,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,Euronova Freezer
218,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
219,Baculin,PH,77.5,scattered clouds,7.4525,126.5842,Baculin Cove Beach Resort
224,Matadi,CD,77.7,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
225,Jalu,LY,70.39,scattered clouds,29.0331,21.5482,صاحبة الفخامة
227,Luanda,AO,77.25,overcast clouds,-8.8368,13.2343,Hotel Fórum
228,Tefe,BR,84.31,light rain,-3.3542,-64.7114,Aracati Hotel
231,Axim,GH,79.14,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
234,Vao,NC,70.68,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
236,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
238,Padang,ID,77.54,broken clouds,-0.9492,100.3543,Mercure Padang
242,Langsa,ID,75.04,moderate rain,4.4683,97.9683,OYO 2964 Hotel Ridho
252,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
254,Riyadh,SA,73.54,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
258,Pacific Grove,US,84.58,clear sky,36.6177,-121.9166,Lovers Point Inn
259,Bundaberg,AU,83.21,scattered clouds,-24.85,152.35,Takalvan Motel
