City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Clyde River,CA,70.4692,-68.5914,28.63,100,90,9.22,light snow
124,Sarkand,KZ,45.41,79.9186,44.47,66,100,1.3,overcast clouds
125,Catalao,BR,-18.1658,-47.9464,73.87,64,98,5.99,overcast clouds
126,Fare,PF,-16.7,-151.0167,78.1,69,91,14.14,overcast clouds
127,Bria,CF,6.5423,21.9863,72.1,87,45,2.51,scattered clouds
128,Upernavik,GL,72.7868,-56.1549,19.53,60,3,5.7,clear sky
129,Mar Del Plata,AR,-38.0023,-57.5575,71.1,94,0,10.0,clear sky
130,Coquimbo,CL,-29.9533,-71.3436,58.73,77,40,10.36,scattered clouds
131,Huilong,CN,31.8111,121.655,64.04,73,100,7.25,overcast clouds
132,Butaritari,KI,3.0707,172.7902,83.7,69,14,17.07,few clouds
133,Katsuura,JP,35.1333,140.3,54.1,68,0,6.44,clear sky
134,Castro,BR,-24.7911,-50.0119,66.24,82,56,8.59,broken clouds
135,Hasaki,JP,35.7333,140.8333,43.2,56,0,4.43,clear sky
136,Banes,CU,20.9625,-75.7186,86.61,62,97,3.4,overcast clouds
137,Chapais,CA,49.7834,-74.8492,53.38,54,9,5.41,clear sky
138,Westport,US,41.1415,-73.3579,56.08,71,90,1.01,overcast clouds
139,Torbay,CA,47.6666,-52.7314,40.68,93,90,14.97,light intensity drizzle
140,Namibe,AO,-15.1961,12.1522,66.42,83,54,4.63,broken clouds
141,Shakawe,BW,-18.3667,21.85,78.03,45,59,2.59,broken clouds
142,Cidreira,BR,-30.1811,-50.2056,68.99,83,75,21.07,broken clouds
143,Victoria,HK,22.2855,114.1577,76.98,91,83,4.0,broken clouds
144,Coahuayana,MX,18.7333,-103.6833,89.08,71,55,4.83,broken clouds
145,Griffith,US,41.5284,-87.4237,55.4,96,90,1.99,heavy intensity rain
146,Mandalgovi,MN,45.7625,106.2708,26.69,90,100,7.72,overcast clouds
147,Soyo,AO,-6.1349,12.3689,78.8,84,78,9.46,broken clouds
148,Georgetown,MY,5.4112,100.3354,80.53,92,20,4.61,few clouds
149,Jimma,ET,7.6667,36.8333,57.61,77,51,1.12,broken clouds
150,Hami,CN,42.8,93.45,48.76,41,7,4.29,clear sky
151,Bilma,NE,18.6853,12.9164,82.45,16,19,6.73,few clouds
152,Corinto,GR,37.9407,22.9573,60.42,61,6,6.64,clear sky
153,Porbandar,IN,21.6422,69.6093,78.26,38,100,8.05,overcast clouds
154,Saint George,US,37.1041,-113.5841,78.53,31,1,1.99,clear sky
155,North Augusta,US,33.5018,-81.9651,65.52,60,75,8.05,broken clouds
156,Iqaluit,CA,63.7506,-68.5145,38.93,69,90,8.01,overcast clouds
157,Lewiston,US,44.1003,-70.2148,53.49,69,0,3.69,clear sky
158,Sirjan,IR,29.452,55.6814,60.15,39,87,6.58,overcast clouds
159,Tiksi,RU,71.6872,128.8694,7.3,95,99,6.04,overcast clouds
160,Asau,RO,46.4333,26.4,40.28,89,3,1.25,clear sky
161,Nusaybin,TR,37.0778,41.2178,62.01,58,94,4.97,light rain
162,Hofn,IS,64.2539,-15.2082,44.19,86,100,13.09,overcast clouds
163,Snyder,US,32.7179,-100.9176,76.51,20,1,16.11,clear sky
164,Tateyama,JP,34.9833,139.8667,54.01,65,1,5.61,clear sky
165,Salalah,OM,17.0151,54.0924,82.49,69,0,4.61,clear sky
166,Tamale,GH,9.4008,-0.8393,84.67,52,100,4.43,overcast clouds
167,Kiruna,SE,67.8557,20.2251,13.12,92,99,4.61,overcast clouds
168,Harper,LR,4.375,-7.7169,77.31,85,99,6.71,overcast clouds
169,Narasapur,IN,16.45,81.6667,76.35,93,100,5.79,overcast clouds
